S.No,Question
1,"How exactly will you gather the data?"
2,"How will you process the data?"
3,"How will you analyze the data?"
4,"How will you handle this data?"
5,"What are transformations?"
6,"Explain wide and narrow transformations with examples."
7,"What is the difference between deep copy and shallow copy in Python?"
8,"What do you mean by Delta Lake?"
9,"What is Z-Ordering in Delta Lake?"
10,"What Hadoop components are you aware of?"
11,"What is the use of YARN?"
12,"What is the key difference between ETL and ELT?"
13,"What are the steps involved in an ETL pipeline?"
14,"How do you create an ETL pipeline?"
15,"How do you ingest data?"
16,"What is the difference between batch processing and streaming processing?"
17,"When Spark becomes slow, apart from optimization, what could be the reasons?"
18,"How do you handle slow Spark jobs?"
19,"What are Window Functions in SQL?"
20,"Explain ROW_NUMBER(), RANK(), and DENSE_RANK()."
21,"Explain LAG() and LEAD() functions."
22,"What is the difference between map() and reduce() in Python?"
23,"Explain Map and Reduce in Hadoop MapReduce."
24,"Given a sentence 'i love python because python is simple', find the most frequent word."
