sno,question
1,"Introduction"
2,"Different services worked in Azure?"
3,"What is Microsoft Fabric?"
4,"Let’s say we have a source file sending data and create a Medallion architecture in Fabric and output will be Power BI. How will you design the pipeline and which items in Fabric do you use?"
5,"Let’s say a daily file is coming, ingest the file, incrementally load the data into Delta table, maintain daily ingestion and historical data. One table should maintain full history and another should maintain cleaned unique data like SCD Type 2. How will you implement it in Gen2 staging, foundation full history, and final SCD Type 2 table?"
6,"Let’s say there is Workspace A with a Data Warehouse and Schema A, and another workspace needs to access Schema A. How?"
7,"Let’s say there is Workspace A and one notebook in Workspace A needs to write data into another workspace. How?"
8,"Can we use OneLake path directly for cross-workspace write?"
9,"In SQL Endpoint, how to achieve cross-workspace access?"
10,"What role needs to be given while creating a Shortcut?"
11,"In Lakehouses, what types of folders are there?"
12,"How to deploy code from one environment to others?"
13,"How do you handle collaboration with team development in the same workspace?"
14,"How do multiple developers work on the same notebook?"
